ECB-GENEPAGE-23010827	ECB-GENE-23010828	LOC583541	GO:0046983
ECB-GENEPAGE-23011356	ECB-GENE-23011357	VAMP	GO:0016021,GO:0016192
ECB-GENEPAGE-23012144	ECB-GENE-23012145	LOC373274	GO:0004553,GO:0005975,GO:0030246,GO:0045087
ECB-GENEPAGE-23012887	ECB-GENE-23012888	LOC373385	GO:0003677,GO:0003700,GO:0005634,GO:0046983
ECB-GENEPAGE-23013264	ECB-GENE-23013265	foxx	GO:0003700,GO:0005634,GO:0043565
ECB-GENEPAGE-23013608	ECB-GENE-23013609	Gp96	GO:0005524,GO:0006457,GO:0016887,GO:0051082
ECB-GENEPAGE-23013979	ECB-GENE-23013980	abcc3a	GO:0005524,GO:0016021,GO:0042626
ECB-GENEPAGE-23015317	ECB-GENE-23015318	LOC414055	GO:0001664,GO:0003924,GO:0003925,GO:0005834,GO:0007188,GO:0007266,GO:0019001,GO:0031526,GO:0031683,GO:0031752
ECB-GENEPAGE-23015400	ECB-GENE-23015401	LOC503549	GO:0005887,GO:0016907,GO:0045202
ECB-GENEPAGE-23018517	ECB-GENE-23018518	tmem16	GO:0005886,GO:0016021,GO:0046983
ECB-GENEPAGE-23018709	ECB-GENE-23018710	SRC8	GO:0003779,GO:0030041
ECB-GENEPAGE-23021505	ECB-GENE-23021506	LOC373230	GO:0003774,GO:0005524,GO:0005634,GO:0005794,GO:0005829,GO:0005902,GO:0005905,GO:0006897,GO:0007605,GO:0015031,GO:0016459,GO:0030136,GO:0030175,GO:0032587,GO:0048471,GO:0051015
ECB-GENEPAGE-23021708	ECB-GENE-23021709	LOC100888650	GO:0003785,GO:0005938,GO:0042989
ECB-GENEPAGE-23023265	ECB-GENE-23023266	cmas	GO:0006054,GO:0008781
ECB-GENEPAGE-23023676	ECB-GENE-23023677	LOC373353	GO:0000786,GO:0003690,GO:0005634,GO:0006334,GO:0016584,GO:0030261,GO:0031492,GO:0031936,GO:0045910
ECB-GENEPAGE-23026008	ECB-GENE-23026009	cgsp1	GO:0004252,GO:0005615,GO:0006508
