"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0006106","fumarate metabolic process",1,1,0,"0.0010"
"GO:0043048","dolichyl monophosphate biosynthetic proc...",1,1,0,"0.0010"
"GO:0006662","glycerol ether metabolic process",2,1,0,"0.0020"
"GO:0008611","ether lipid biosynthetic process",2,1,0,"0.0020"
"GO:0018904","ether metabolic process",2,1,0,"0.0020"
"GO:0046485","ether lipid metabolic process",2,1,0,"0.0020"
"GO:0046504","glycerol ether biosynthetic process",2,1,0,"0.0020"
"GO:0097384","cellular lipid biosynthetic process",2,1,0,"0.0020"
"GO:1901503","ether biosynthetic process",2,1,0,"0.0020"
"GO:0001678","cellular glucose homeostasis",3,1,0,"0.0031"
"GO:0033500","carbohydrate homeostasis",4,1,0,"0.0041"
"GO:0042593","glucose homeostasis",4,1,0,"0.0041"
"GO:0044255","cellular lipid metabolic process",388,3,0.4,"0.0068"
"GO:0006692","prostanoid metabolic process",9,1,0.01,"0.0092"
"GO:0006693","prostaglandin metabolic process",9,1,0.01,"0.0092"
"GO:0033559","unsaturated fatty acid metabolic process",9,1,0.01,"0.0092"
"GO:0019752","carboxylic acid metabolic process",442,3,0.45,"0.0097"
"GO:0043436","oxoacid metabolic process",442,3,0.45,"0.0097"
"GO:0032787","monocarboxylic acid metabolic process",147,2,0.15,"0.0097"
