"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004168","dolichol kinase activity",1,1,0,"0.0011"
"GO:0008609","alkylglycerone-phosphate synthase activi...",2,1,0,"0.0021"
"GO:0004333","fumarate hydratase activity",3,1,0,"0.0032"
"GO:0004340","glucokinase activity",3,1,0,"0.0032"
"GO:0004396","hexokinase activity",3,1,0,"0.0032"
"GO:0005536","glucose binding",3,1,0,"0.0032"
"GO:0043023","ribosomal large subunit binding",5,1,0.01,"0.0054"
"GO:0032440","2-alkenal reductase [NAD(P)+] activity",6,1,0.01,"0.0064"
"GO:0097257","leukotriene B4 12-hydroxy dehydrogenase ...",6,1,0.01,"0.0064"
"GO:0036132","13-prostaglandin reductase activity",8,1,0.01,"0.0086"
"GO:0047522","15-oxoprostaglandin 13-oxidase activity",8,1,0.01,"0.0086"
