"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0050794","regulation of cellular process",4748,95,64.37,"7.7e-06"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,37,17.49,"1.1e-05"
"GO:0050789","regulation of biological process",4947,97,67.06,"1.4e-05"
"GO:0007154","cell communication",3266,70,44.28,"2.7e-05"
"GO:0023052","signaling",3220,69,43.65,"3.2e-05"
"GO:0007155","cell adhesion",375,16,5.08,"5.5e-05"
"GO:0022610","biological adhesion",375,16,5.08,"5.5e-05"
"GO:0007165","signal transduction",3169,67,42.96,"6.8e-05"
"GO:0065007","biological regulation",5357,100,72.62,"8.2e-05"
"GO:0006900","vesicle budding from membrane",11,3,0.15,"0.00037"
"GO:0090114","COPII-coated vesicle budding",11,3,0.15,"0.00037"
"GO:0050896","response to stimulus",3822,73,51.81,"0.00073"
"GO:0016050","vesicle organization",16,3,0.22,"0.00121"
"GO:0051716","cellular response to stimulus",3651,69,49.5,"0.00146"
"GO:0007601","visual perception",6,2,0.08,"0.00265"
"GO:0007600","sensory perception",23,3,0.31,"0.00356"
"GO:0006901","vesicle coating",8,2,0.11,"0.00485"
"GO:0048207","vesicle targeting, rough ER to cis-Golgi",8,2,0.11,"0.00485"
"GO:0048208","COPII vesicle coating",8,2,0.11,"0.00485"
"GO:0007229","integrin-mediated signaling pathway",26,3,0.35,"0.00508"
"GO:0048199","vesicle targeting, to, from or within Go...",9,2,0.12,"0.00619"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",88,5,1.19,"0.00690"
"GO:0050953","sensory perception of light stimulus",10,2,0.14,"0.00766"
"GO:0051179","localization",3526,63,47.8,"0.00942"
