"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007154","cell communication",3266,48,27.75,"4.1e-05"
"GO:0023052","signaling",3220,45,27.36,"0.00027"
"GO:0007165","signal transduction",3169,44,26.92,"0.00038"
"GO:0051716","cellular response to stimulus",3651,46,31.02,"0.00225"
"GO:0050896","response to stimulus",3822,46,32.47,"0.00567"
"GO:0071526","semaphorin-plexin signaling pathway",43,3,0.37,"0.00578"
"GO:0050794","regulation of cellular process",4748,54,40.34,"0.00801"
"GO:0001188","RNA polymerase I preinitiation complex a...",1,1,0.01,"0.00850"
"GO:0006353","DNA-templated transcription, termination",1,1,0.01,"0.00850"
"GO:0006369","termination of RNA polymerase II transcr...",1,1,0.01,"0.00850"
