"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004930","G protein-coupled receptor activity",1234,37,17.94,"2.3e-05"
"GO:0005509","calcium ion binding",1355,38,19.7,"7.5e-05"
"GO:0004888","transmembrane signaling receptor activit...",1683,44,24.47,"9.9e-05"
"GO:0038023","signaling receptor activity",1706,44,24.8,"0.00013"
"GO:0060089","molecular transducer activity",1706,44,24.8,"0.00013"
"GO:0004104","cholinesterase activity",17,3,0.25,"0.00178"
"GO:0010181","FMN binding",40,4,0.58,"0.00265"
"GO:0017065","single-strand selective uracil DNA N-gly...",6,2,0.09,"0.00304"
"GO:0004844","uracil DNA N-glycosylase activity",7,2,0.1,"0.00422"
"GO:0097506","deaminated base DNA N-glycosylase activi...",7,2,0.1,"0.00422"
"GO:0001540","amyloid-beta binding",9,2,0.13,"0.00709"
"GO:0008201","heparin binding",10,2,0.15,"0.00878"
