"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0017065","single-strand selective uracil DNA N-gly...",6,2,0.05,"0.00098"
"GO:0004888","transmembrane signaling receptor activit...",1683,26,13.79,"0.00121"
"GO:0004844","uracil DNA N-glycosylase activity",7,2,0.06,"0.00136"
"GO:0097506","deaminated base DNA N-glycosylase activi...",7,2,0.06,"0.00136"
"GO:0038023","signaling receptor activity",1706,26,13.97,"0.00147"
"GO:0060089","molecular transducer activity",1706,26,13.97,"0.00147"
"GO:0008146","sulfotransferase activity",275,8,2.25,"0.00197"
"GO:0005215","transporter activity",1785,26,14.62,"0.00277"
"GO:0016782","transferase activity, transferring sulfu...",301,8,2.47,"0.00343"
"GO:0016799","hydrolase activity, hydrolyzing N-glycos...",305,8,2.5,"0.00372"
"GO:0017154","semaphorin receptor activity",43,3,0.35,"0.00524"
"GO:0004930","G protein-coupled receptor activity",1234,19,10.11,"0.00595"
"GO:0001046","core promoter sequence-specific DNA bind...",1,1,0.01,"0.00819"
"GO:0001163","RNA polymerase I transcription regulator...",1,1,0.01,"0.00819"
"GO:0001164","RNA polymerase I core promoter sequence-...",1,1,0.01,"0.00819"
"GO:0050508","glucuronosyl-N-acetylglucosaminyl-proteo...",1,1,0.01,"0.00819"
"GO:0050509","N-acetylglucosaminyl-proteoglycan 4-beta...",1,1,0.01,"0.00819"
"GO:0019104","DNA N-glycosylase activity",17,2,0.14,"0.00837"
