"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0050794","regulation of cellular process",4748,80,56.36,"0.00018"
"GO:0006900","vesicle budding from membrane",11,3,0.13,"0.00025"
"GO:0090114","COPII-coated vesicle budding",11,3,0.13,"0.00025"
"GO:0050789","regulation of biological process",4947,82,58.72,"0.00026"
"GO:0007155","cell adhesion",375,13,4.45,"0.00056"
"GO:0022610","biological adhesion",375,13,4.45,"0.00056"
"GO:0016050","vesicle organization",16,3,0.19,"0.00082"
"GO:0065007","biological regulation",5357,85,63.59,"0.00084"
"GO:0007154","cell communication",3266,56,38.77,"0.00188"
"GO:0007601","visual perception",6,2,0.07,"0.00204"
"GO:0023052","signaling",3220,55,38.22,"0.00229"
"GO:0051179","localization",3526,59,41.85,"0.00244"
"GO:0007600","sensory perception",23,3,0.27,"0.00245"
"GO:0006810","transport",3415,57,40.53,"0.00315"
"GO:0007229","integrin-mediated signaling pathway",26,3,0.31,"0.00350"
"GO:0051234","establishment of localization",3434,57,40.76,"0.00358"
"GO:0006901","vesicle coating",8,2,0.09,"0.00374"
"GO:0048207","vesicle targeting, rough ER to cis-Golgi",8,2,0.09,"0.00374"
"GO:0048208","COPII vesicle coating",8,2,0.09,"0.00374"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",88,5,1.04,"0.00396"
"GO:0007165","signal transduction",3169,53,37.61,"0.00444"
"GO:0048199","vesicle targeting, to, from or within Go...",9,2,0.11,"0.00478"
"GO:0035556","intracellular signal transduction",536,14,6.36,"0.00487"
"GO:0050953","sensory perception of light stimulus",10,2,0.12,"0.00592"
