"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007154","cell communication",3266,46,26.17,"3.7e-05"
"GO:0023052","signaling",3220,43,25.8,"0.00027"
"GO:0007165","signal transduction",3169,42,25.39,"0.00038"
"GO:0051716","cellular response to stimulus",3651,44,29.26,"0.00205"
"GO:0071526","semaphorin-plexin signaling pathway",43,3,0.34,"0.00491"
"GO:0050896","response to stimulus",3822,44,30.63,"0.00507"
"GO:0001188","RNA polymerase I preinitiation complex a...",1,1,0.01,"0.00801"
"GO:0006353","DNA-templated transcription, termination",1,1,0.01,"0.00801"
"GO:0006369","termination of RNA polymerase II transcr...",1,1,0.01,"0.00801"
"GO:0050794","regulation of cellular process",4748,51,38.05,"0.00950"
