"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0008146","sulfotransferase activity",275,8,2.1,"0.0013"
"GO:0005215","transporter activity",1785,25,13.62,"0.0021"
"GO:0016782","transferase activity, transferring sulfu...",301,8,2.3,"0.0022"
"GO:0017154","semaphorin receptor activity",43,3,0.33,"0.0043"
"GO:0004888","transmembrane signaling receptor activit...",1683,23,12.84,"0.0044"
"GO:0038023","signaling receptor activity",1706,23,13.01,"0.0052"
"GO:0060089","molecular transducer activity",1706,23,13.01,"0.0052"
"GO:0001046","core promoter sequence-specific DNA bind...",1,1,0.01,"0.0076"
"GO:0001163","RNA polymerase I transcription regulator...",1,1,0.01,"0.0076"
"GO:0001164","RNA polymerase I core promoter sequence-...",1,1,0.01,"0.0076"
"GO:0050508","glucuronosyl-N-acetylglucosaminyl-proteo...",1,1,0.01,"0.0076"
"GO:0050509","N-acetylglucosaminyl-proteoglycan 4-beta...",1,1,0.01,"0.0076"
"GO:0016799","hydrolase activity, hydrolyzing N-glycos...",305,7,2.33,"0.0090"
