"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0006284","base-excision repair",21,3,0.04,"1.1e-05"
"GO:0002224","toll-like receptor signaling pathway",92,3,0.19,"0.00095"
"GO:0002221","pattern recognition receptor signaling p...",93,3,0.2,"0.00098"
"GO:0097056","selenocysteinyl-tRNA(Sec) biosynthetic p...",1,1,0,"0.00211"
"GO:0006955","immune response",152,3,0.32,"0.00398"
"GO:0019285","glycine betaine biosynthetic process fro...",2,1,0,"0.00421"
"GO:0019695","choline metabolic process",2,1,0,"0.00421"
"GO:0031455","glycine betaine metabolic process",2,1,0,"0.00421"
"GO:0031456","glycine betaine biosynthetic process",2,1,0,"0.00421"
"GO:0097164","ammonium ion metabolic process",2,1,0,"0.00421"
"GO:0002376","immune system process",173,3,0.36,"0.00570"
