"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0017065","single-strand selective uracil DNA N-gly...",6,3,0.01,"1.7e-07"
"GO:0004844","uracil DNA N-glycosylase activity",7,3,0.01,"3.0e-07"
"GO:0097506","deaminated base DNA N-glycosylase activi...",7,3,0.01,"3.0e-07"
"GO:0019104","DNA N-glycosylase activity",17,3,0.04,"5.7e-06"
"GO:0016799","hydrolase activity, hydrolyzing N-glycos...",305,6,0.64,"3.9e-05"
"GO:0016798","hydrolase activity, acting on glycosyl b...",474,6,0.99,"0.00043"
"GO:0004888","transmembrane signaling receptor activit...",1683,10,3.53,"0.00206"
"GO:0016785","transferase activity, transferring selen...",1,1,0,"0.00210"
"GO:0098621","phosphoseryl-selenocysteinyl-tRNA seleni...",1,1,0,"0.00210"
"GO:0140575","transmembrane monodehydroascorbate reduc...",1,1,0,"0.00210"
"GO:0038023","signaling receptor activity",1706,10,3.58,"0.00227"
"GO:0060089","molecular transducer activity",1706,10,3.58,"0.00227"
"GO:0008812","choline dehydrogenase activity",2,1,0,"0.00419"
