Num.reads ,R1 ,R2 ,Paired ,MateMapped ,Singletons ,MateMappedDiffChr,Paired/Num.reads,Coverage,Total reads,Mapped/Tot
40723301,20362655,20360646,32238159,39095533,640909,5741366,0.79163914,7.01081,49447256,0.823570493
37893153,18947717,18945436,30163046,36454189,539252,5262320,0.796002539,6.58231,46903986,0.807887692
36097176,18049269,18047907,28685340,34808846,489024,5094170,0.794669921,6.34604,44581888,0.809682533
38079360,19040066,19039294,30325476,36606830,572465,5241244,0.796375674,6.58053,46502104,0.818873916
40709021,20355875,20353146,32402082,39129293,620977,5617610,0.795943533,7.00139,49688362,0.819286838
40843974,20423045,20420929,32199705,39156394,663937,5787254,0.788358767,7.03042,49825076,0.81974735
27737365,13869271,13868094,22942470,26913065,292671,3273774,0.827132282,5.09779,34902024,0.794720816
25763053,12882028,12881025,20549667,24687613,424928,3448140,0.797640986,4.69193,31194132,0.82589421
44103150,22052385,22050765,35162189,42451346,642927,6074184,0.797271601,7.57721,54164638,0.814242495
35104257,17552595,17551662,28258921,33900237,460604,4696126,0.804999832,6.18318,43524586,0.806538562
30992470,15496925,15495545,24956288,29909636,416678,4122048,0.805237143,5.53783,37686116,0.822384297
45741862,22872148,22869714,36479194,44036368,653096,6287020,0.797501291,7.80049,56145934,0.814695896
34661560,17331535,17330025,27815302,33410766,475942,4679770,0.802482693,6.09873,42947902,0.80706061
36794472,18397651,18396821,29327696,35455586,500480,5071084,0.797067994,6.4455,44426494,0.828210122
37470015,18735902,18734113,30485369,36252373,455174,4822566,0.813593723,6.56708,46479766,0.806157565
31081660,15541280,15540380,25020528,29968220,423263,4111498,0.804993298,5.57136,37799744,0.822271706
33198108,16599892,16598216,26485377,31990290,470749,4575078,0.797797784,5.8665,40231830,0.82517022
34222666,17111668,17110998,27394619,32991468,475396,4641390,0.800481733,6.03755,41713152,0.820428674
32415789,16207691,16208098,26016412,31274313,434759,4386034,0.802584568,5.76084,40189762,0.806568325
37288168,18644333,18643835,29827656,35919874,530788,5063618,0.799922807,6.49372,45105766,0.826682957
35582216,17791910,17790306,28416356,34250860,515623,4850062,0.798611194,6.23966,43271748,0.82229671
35252749,17627145,17625604,28334782,34007585,475200,4715632,0.803760921,6.2064,43404278,0.812195263
37306017,18653745,18652272,29739434,35929747,513108,5121290,0.797175265,6.54845,45676462,0.816744891
35047874,17524363,17523511,28056953,33750574,496509,4747894,0.800532238,6.16298,41920418,0.83605736
39528953,19765582,19763371,31129091,37993561,598500,5703384,0.787501025,6.84588,49805270,0.793670088
36879893,18440489,18439404,29322832,35517269,519903,5137942,0.795089942,6.46183,44802380,0.823168167
36849481,18424953,18424528,29362547,35406895,558451,5017100,0.796823896,6.41528,44402832,0.829890332
41316702,20659392,20657310,32456803,39577216,685147,5954762,0.785561321,7.07457,52200534,0.791499604
