GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0015269,calcium-activated potassium channel acti...,3,3,0.32,0.00121
GO:0004016,adenylate cyclase activity,5,4,0.53,0.00059
GO:0004034,aldose 1-epimerase activity,6,4,0.64,0.00162
GO:0005227,calcium activated cation channel activit...,7,4,0.75,0.00346
GO:0022839,ion gated channel activity,7,4,0.75,0.00346
GO:0016854,racemase and epimerase activity,11,5,1.17,0.00365
GO:0016857,"racemase and epimerase activity, acting ...",11,5,1.17,0.00365
GO:0004104,cholinesterase activity,17,7,1.81,0.00115
GO:0004089,carbonate dehydratase activity,20,7,2.13,0.00343
GO:0004965,G protein-coupled GABA receptor activity,22,8,2.35,0.00133
GO:0022848,acetylcholine-gated cation-selective cha...,25,11,2.67,2.10E-05
GO:0099529,neurotransmitter receptor activity invol...,25,11,2.67,2.10E-05
GO:1904315,transmitter-gated ion channel activity i...,25,11,2.67,2.10E-05
GO:0005231,excitatory extracellular ligand-gated io...,28,11,2.99,7.50E-05
GO:0016917,GABA receptor activity,31,9,3.31,0.00399
GO:0098960,postsynaptic neurotransmitter receptor a...,32,12,3.41,6.10E-05
GO:0022824,transmitter-gated ion channel activity,37,15,3.95,2.40E-06
GO:0022835,transmitter-gated channel activity,37,15,3.95,2.40E-06
GO:0009975,cyclase activity,42,11,4.48,0.0037
GO:0099094,ligand-gated cation channel activity,43,13,4.59,0.00037
GO:0030594,neurotransmitter receptor activity,44,16,4.69,5.90E-06
GO:0016849,phosphorus-oxygen lyase activity,44,13,4.69,0.00048
GO:0051213,dioxygenase activity,101,21,10.77,0.00201
GO:0005230,extracellular ligand-gated ion channel a...,110,29,11.73,2.90E-06
GO:0015276,ligand-gated ion channel activity,129,32,13.76,3.80E-06
GO:0022834,ligand-gated channel activity,129,32,13.76,3.80E-06
GO:0030246,carbohydrate binding,153,28,16.32,0.00306
GO:0019842,vitamin binding,163,28,17.38,0.00751
GO:0000981,DNA-binding transcription factor activit...,173,39,18.45,4.50E-06
GO:0004222,metalloendopeptidase activity,179,34,19.09,0.0006
GO:0016829,lyase activity,204,37,21.75,0.00088
GO:0022836,gated channel activity,235,46,25.06,3.40E-05
GO:0004252,serine-type endopeptidase activity,257,46,27.41,0.00031
GO:0005261,cation channel activity,271,49,28.9,0.00015
GO:0008236,serine-type peptidase activity,272,47,29.01,0.00059
GO:0017171,serine hydrolase activity,272,47,29.01,0.00059
GO:0008237,metallopeptidase activity,310,50,33.06,0.00193
GO:0022890,inorganic cation transmembrane transport...,469,67,50.01,0.00796
GO:0005216,ion channel activity,475,84,50.65,2.10E-06
GO:0008324,cation transmembrane transporter activit...,485,71,51.72,0.00358
GO:0015267,channel activity,489,87,52.15,1.10E-06
GO:0022803,passive transmembrane transporter activi...,489,87,52.15,1.10E-06
GO:0003700,DNA-binding transcription factor activit...,504,82,53.75,6.50E-05
GO:0004175,endopeptidase activity,626,92,66.76,0.00089
GO:0140110,transcription regulator activity,638,91,68.04,0.00237
GO:0004672,protein kinase activity,702,95,74.86,0.00869
GO:0015318,inorganic molecular entity transmembrane...,759,110,80.94,0.0005
GO:0015075,ion transmembrane transporter activity,823,123,87.76,6.40E-05
GO:0004930,G protein-coupled receptor activity,1234,232,131.59,8.40E-19
GO:0005509,calcium ion binding,1355,173,144.5,0.00616
GO:0004888,transmembrane signaling receptor activit...,1683,287,179.48,5.60E-17
GO:0038023,signaling receptor activity,1706,291,181.93,3.20E-17
GO:0060089,molecular transducer activity,1706,291,181.93,3.20E-17
GO:0022857,transmembrane transporter activity,1731,259,184.59,4.10E-09
GO:0005215,transporter activity,1785,269,190.35,9.50E-10
