"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0055085","transmembrane transport",1780,243,163.98,"5.1e-11"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,185,118.84,"3.1e-10"
"GO:0050794","regulation of cellular process",4748,535,437.41,"7.2e-09"
"GO:0050789","regulation of biological process",4947,551,455.74,"2.2e-08"
"GO:0065007","biological regulation",5357,585,493.51,"1.2e-07"
"GO:0009190","cyclic nucleotide biosynthetic process",46,17,4.24,"3.0e-07"
"GO:0006810","transport",3415,389,314.61,"8.1e-07"
"GO:0051234","establishment of localization",3434,389,316.36,"1.5e-06"
"GO:0007154","cell communication",3266,372,300.88,"1.6e-06"
"GO:0051179","localization",3526,395,324.83,"3.7e-06"
"GO:0009187","cyclic nucleotide metabolic process",54,17,4.97,"3.9e-06"
"GO:0023052","signaling",3220,364,296.64,"4.5e-06"
"GO:0007165","signal transduction",3169,358,291.94,"6.0e-06"
"GO:0006811","ion transport",1548,189,142.61,"2.2e-05"
"GO:0050877","nervous system process",52,15,4.79,"4.6e-05"
"GO:0060078","regulation of postsynaptic membrane pote...",28,10,2.58,"0.00012"
"GO:0060079","excitatory postsynaptic potential",28,10,2.58,"0.00012"
"GO:0099565","chemical synaptic transmission, postsyna...",28,10,2.58,"0.00012"
"GO:0042391","regulation of membrane potential",29,10,2.67,"0.00017"
"GO:0034220","ion transmembrane transport",780,101,71.86,"0.00026"
"GO:0003008","system process",60,15,5.53,"0.00027"
"GO:0051125","regulation of actin nucleation",5,4,0.46,"0.00033"
"GO:0051716","cellular response to stimulus",3651,390,336.35,"0.00034"
"GO:0007166","cell surface receptor signaling pathway",728,94,67.07,"0.00046"
"GO:0050896","response to stimulus",3822,403,352.1,"0.00076"
"GO:2000112","regulation of cellular macromolecule bio...",1031,125,94.98,"0.00077"
"GO:0051126","negative regulation of actin nucleation",3,3,0.28,"0.00078"
"GO:0010556","regulation of macromolecule biosynthetic...",1032,125,95.07,"0.00079"
"GO:0009889","regulation of biosynthetic process",1033,125,95.17,"0.00082"
"GO:0031326","regulation of cellular biosynthetic proc...",1033,125,95.17,"0.00082"
"GO:0052652","cyclic purine nucleotide metabolic proce...",35,10,3.22,"0.00092"
"GO:0051252","regulation of RNA metabolic process",1011,122,93.14,"0.00105"
"GO:1905114","cell surface receptor signaling pathway ...",97,19,8.94,"0.00122"
"GO:0006355","regulation of transcription, DNA-templat...",979,118,90.19,"0.00132"
"GO:1903506","regulation of nucleic acid-templated tra...",979,118,90.19,"0.00132"
"GO:2001141","regulation of RNA biosynthetic process",979,118,90.19,"0.00132"
"GO:0006351","transcription, DNA-templated",1102,130,101.52,"0.00172"
"GO:0097659","nucleic acid-templated transcription",1102,130,101.52,"0.00172"
"GO:0032774","RNA biosynthetic process",1113,131,102.54,"0.00180"
"GO:0007155","cell adhesion",375,52,34.55,"0.00186"
"GO:0022610","biological adhesion",375,52,34.55,"0.00186"
"GO:0010468","regulation of gene expression",1184,138,109.08,"0.00199"
"GO:1903510","mucopolysaccharide metabolic process",7,4,0.64,"0.00200"
"GO:0006468","protein phosphorylation",735,91,67.71,"0.00210"
"GO:0006357","regulation of transcription by RNA polym...",388,53,35.74,"0.00235"
"GO:0019219","regulation of nucleobase-containing comp...",1037,122,95.53,"0.00260"
"GO:0001568","blood vessel development",4,3,0.37,"0.00291"
"GO:0001944","vasculature development",4,3,0.37,"0.00291"
"GO:0006171","cAMP biosynthetic process",4,3,0.37,"0.00291"
"GO:0034315","regulation of Arp2/3 complex-mediated ac...",4,3,0.37,"0.00291"
"GO:0080090","regulation of primary metabolic process",1294,147,119.21,"0.00385"
"GO:0051171","regulation of nitrogen compound metaboli...",1295,147,119.3,"0.00396"
"GO:0018108","peptidyl-tyrosine phosphorylation",115,20,10.59,"0.00403"
"GO:0006366","transcription by RNA polymerase II",436,57,40.17,"0.00437"
"GO:0007267","cell-cell signaling",156,25,14.37,"0.00438"
"GO:0018212","peptidyl-tyrosine modification",116,20,10.69,"0.00446"
"GO:0051495","positive regulation of cytoskeleton orga...",24,7,2.21,"0.00472"
"GO:1902905","positive regulation of supramolecular fi...",24,7,2.21,"0.00472"
"GO:0031323","regulation of cellular metabolic process",1301,146,119.85,"0.00616"
"GO:0007215","glutamate receptor signaling pathway",14,5,1.29,"0.00650"
"GO:0030212","hyaluronan metabolic process",5,3,0.46,"0.00677"
"GO:0005975","carbohydrate metabolic process",355,47,32.7,"0.00720"
"GO:0031054","pre-miRNA processing",2,2,0.18,"0.00848"
"GO:0034316","negative regulation of Arp2/3 complex-me...",2,2,0.18,"0.00848"
"GO:1901881","positive regulation of protein depolymer...",2,2,0.18,"0.00848"
"GO:0005976","polysaccharide metabolic process",15,5,1.38,"0.00901"
"GO:0044264","cellular polysaccharide metabolic proces...",15,5,1.38,"0.00901"
"GO:0050953","sensory perception of light stimulus",10,4,0.92,"0.00957"
