"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0031224","intrinsic component of membrane",9193,1018,907.05,"1.9e-09"
"GO:0016021","integral component of membrane",9179,1014,905.67,"4.5e-09"
"GO:0005886","plasma membrane",939,143,92.65,"6.2e-08"
"GO:0016020","membrane",10428,1121,1028.91,"2.0e-07"
"GO:0071944","cell periphery",1036,150,102.22,"6.9e-07"
"GO:0045211","postsynaptic membrane",37,14,3.65,"5.4e-06"
"GO:0097060","synaptic membrane",37,14,3.65,"5.4e-06"
"GO:0098794","postsynapse",55,17,5.43,"1.3e-05"
"GO:0045202","synapse",129,24,12.73,"0.0017"
"GO:0005887","integral component of plasma membrane",78,15,7.7,"0.0086"
"GO:0070985","transcription factor TFIIK complex",2,2,0.2,"0.0097"
