"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005215","transporter activity",1785,244,165.31,"1.1e-10"
"GO:0022857","transmembrane transporter activity",1731,236,160.31,"2.9e-10"
"GO:0038023","signaling receptor activity",1706,231,158,"8.8e-10"
"GO:0060089","molecular transducer activity",1706,231,158,"8.8e-10"
"GO:0004930","G protein-coupled receptor activity",1234,177,114.28,"1.5e-09"
"GO:0004888","transmembrane signaling receptor activit...",1683,227,155.87,"1.8e-09"
"GO:0000981","DNA-binding transcription factor activit...",173,37,16.02,"1.1e-06"
"GO:0015267","channel activity",489,78,45.29,"1.3e-06"
"GO:0022803","passive transmembrane transporter activi...",489,78,45.29,"1.3e-06"
"GO:0015276","ligand-gated ion channel activity",129,30,11.95,"1.8e-06"
"GO:0022834","ligand-gated channel activity",129,30,11.95,"1.8e-06"
"GO:0005230","extracellular ligand-gated ion channel a...",110,27,10.19,"1.9e-06"
"GO:0022824","transmitter-gated ion channel activity",37,14,3.43,"2.6e-06"
"GO:0022835","transmitter-gated channel activity",37,14,3.43,"2.6e-06"
"GO:0005216","ion channel activity",475,75,43.99,"3.1e-06"
"GO:0030594","neurotransmitter receptor activity",44,15,4.07,"5.1e-06"
"GO:0003700","DNA-binding transcription factor activit...",504,77,46.68,"7.9e-06"
"GO:0015075","ion transmembrane transporter activity",823,111,76.22,"3.2e-05"
"GO:0022848","acetylcholine-gated cation-selective cha...",25,10,2.32,"4.0e-05"
"GO:0099529","neurotransmitter receptor activity invol...",25,10,2.32,"4.0e-05"
"GO:1904315","transmitter-gated ion channel activity i...",25,10,2.32,"4.0e-05"
"GO:0022836","gated channel activity",235,41,21.76,"5.5e-05"
"GO:0098960","postsynaptic neurotransmitter receptor a...",32,11,2.96,"8.6e-05"
"GO:0016849","phosphorus-oxygen lyase activity",44,13,4.07,"0.00012"
"GO:0005231","excitatory extracellular ligand-gated io...",28,10,2.59,"0.00012"
"GO:0140110","transcription regulator activity",638,86,59.09,"0.00025"
"GO:0004016","adenylate cyclase activity",5,4,0.46,"0.00034"
"GO:0099094","ligand-gated cation channel activity",43,12,3.98,"0.00039"
"GO:0015318","inorganic molecular entity transmembrane...",759,98,70.29,"0.00044"
"GO:0005509","calcium ion binding",1355,160,125.49,"0.00068"
"GO:0015269","calcium-activated potassium channel acti...",3,3,0.28,"0.00079"
"GO:0051213","dioxygenase activity",101,20,9.35,"0.00086"
"GO:0008237","metallopeptidase activity",310,46,28.71,"0.00094"
"GO:0004222","metalloendopeptidase activity",179,30,16.58,"0.00102"
"GO:0005261","cation channel activity",271,41,25.1,"0.00118"
"GO:0009975","cyclase activity",42,11,3.89,"0.00120"
"GO:0004252","serine-type endopeptidase activity",257,39,23.8,"0.00145"
"GO:0004089","carbonate dehydratase activity",20,7,1.85,"0.00151"
"GO:0005227","calcium activated cation channel activit...",7,4,0.65,"0.00204"
"GO:0022839","ion gated channel activity",7,4,0.65,"0.00204"
"GO:0004672","protein kinase activity",702,88,65.01,"0.00207"
"GO:0016829","lyase activity",204,32,18.89,"0.00217"
"GO:0008236","serine-type peptidase activity",272,40,25.19,"0.00230"
"GO:0017171","serine hydrolase activity",272,40,25.19,"0.00230"
"GO:0004965","G protein-coupled GABA receptor activity",22,7,2.04,"0.00283"
"GO:0004175","endopeptidase activity",626,79,57.98,"0.00285"
"GO:0004104","cholinesterase activity",17,6,1.57,"0.00316"
"GO:0140096","catalytic activity, acting on a protein",2444,264,226.34,"0.00322"
"GO:0016773","phosphotransferase activity, alcohol gro...",810,98,75.02,"0.00355"
"GO:0030246","carbohydrate binding",153,25,14.17,"0.00364"
"GO:0016917","GABA receptor activity",31,8,2.87,"0.00605"
"GO:0051015","actin filament binding",88,16,8.15,"0.00649"
"GO:0005092","GDP-dissociation inhibitor activity",5,3,0.46,"0.00687"
"GO:0045296","cadherin binding",5,3,0.46,"0.00687"
"GO:0050839","cell adhesion molecule binding",5,3,0.46,"0.00687"
"GO:0043565","sequence-specific DNA binding",257,36,23.8,"0.00804"
"GO:0004713","protein tyrosine kinase activity",114,19,10.56,"0.00841"
"GO:0031177","phosphopantetheine binding",2,2,0.19,"0.00857"
"GO:0060072","large conductance calcium-activated pota...",2,2,0.19,"0.00857"
"GO:0071933","Arp2/3 complex binding",2,2,0.19,"0.00857"
"GO:0044877","protein-containing complex binding",165,25,15.28,"0.00964"
"GO:0004423","iduronate-2-sulfatase activity",10,4,0.93,"0.00975"
"GO:0008241","peptidyl-dipeptidase activity",10,4,0.93,"0.00975"
"GO:0015081","sodium ion transmembrane transporter act...",92,16,8.52,"0.00997"
