"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,75,27.67,"9.4e-16"
"GO:0007165","signal transduction",3169,102,67.97,"6.7e-06"
"GO:0023052","signaling",3220,102,69.07,"1.4e-05"
"GO:0007154","cell communication",3266,103,70.05,"1.5e-05"
"GO:0006486","protein glycosylation",325,19,6.97,"8.1e-05"
"GO:0043413","macromolecule glycosylation",325,19,6.97,"8.1e-05"
"GO:0009101","glycoprotein biosynthetic process",330,19,7.08,"9.9e-05"
"GO:0070085","glycosylation",333,19,7.14,"0.00011"
"GO:0051716","cellular response to stimulus",3651,108,78.31,"0.00013"
"GO:0009100","glycoprotein metabolic process",338,19,7.25,"0.00013"
"GO:0050896","response to stimulus",3822,109,81.98,"0.00052"
"GO:1901135","carbohydrate derivative metabolic proces...",704,29,15.1,"0.00062"
"GO:1901137","carbohydrate derivative biosynthetic pro...",580,25,12.44,"0.00077"
"GO:0006813","potassium ion transport",77,7,1.65,"0.00131"
"GO:0050794","regulation of cellular process",4748,128,101.84,"0.00142"
"GO:0036065","fucosylation",60,6,1.29,"0.00176"
"GO:0071805","potassium ion transmembrane transport",68,6,1.46,"0.00334"
"GO:0050789","regulation of biological process",4947,130,106.11,"0.00350"
"GO:0072359","circulatory system development",15,3,0.32,"0.00368"
"GO:0007601","visual perception",6,2,0.13,"0.00650"
