"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004930","G protein-coupled receptor activity",1234,73,26.34,"1.4e-15"
"GO:0004888","transmembrane signaling receptor activit...",1683,85,35.93,"4.2e-14"
"GO:0038023","signaling receptor activity",1706,85,36.42,"8.9e-14"
"GO:0060089","molecular transducer activity",1706,85,36.42,"8.9e-14"
"GO:0016758","transferase activity, transferring hexos...",205,13,4.38,"0.00048"
"GO:0016757","transferase activity, transferring glyco...",515,23,10.99,"0.00075"
"GO:0005267","potassium channel activity",56,6,1.2,"0.00120"
"GO:0008417","fucosyltransferase activity",60,6,1.28,"0.00173"
"GO:0016831","carboxy-lyase activity",28,4,0.6,"0.00279"
"GO:0015079","potassium ion transmembrane transporter ...",67,6,1.43,"0.00304"
"GO:0016830","carbon-carbon lyase activity",51,5,1.09,"0.00454"
"GO:0017065","single-strand selective uracil DNA N-gly...",6,2,0.13,"0.00644"
"GO:0030170","pyridoxal phosphate binding",80,6,1.71,"0.00727"
"GO:0070279","vitamin B6 binding",80,6,1.71,"0.00727"
"GO:0004844","uracil DNA N-glycosylase activity",7,2,0.15,"0.00889"
"GO:0097506","deaminated base DNA N-glycosylase activi...",7,2,0.15,"0.00889"
"GO:0004252","serine-type endopeptidase activity",257,12,5.49,"0.00950"
