transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_001079548.1	185/333	8.16	2.77	2.76	0.0	0.00	2.96	17.52	19.14	8.49	12.68
NM_001083634.1	4e-bp	31.84	61.91	34.38	41.385000000000005	31.63	32.48	75.25	33.37	131.95	142.68
NM_001033950.1	ABCB1	66.53	9.13	17.90	18.065	47.77	39.73	26.14	25.07	26.31	29.67
XM_011676698.2	ABCB1	110.27	21.84	25.94	39.985	70.78	74.55	64.32	49.47	42.90	53.43
XM_011676699.2	ABCB1	0.00	0.00	0.00	1.495	5.98	0.00	0.00	0.00	0.00	0.00
NM_001281761.1	ABCC1	1.00	1.07	1.14	2.835	1.91	1.59	1.86	1.90	2.14	1.20
XM_030983887.1	ABCC1	2.96	1.78	4.39	6.2	8.38	4.52	4.29	2.53	3.68	3.39
XM_030983888.1	ABCC1	0.35	0.40	1.35	2.4899999999999998	2.79	1.29	0.90	1.48	1.64	1.29
XM_030983889.1	ABCC1	0.17	0.20	0.34	1.595	0.56	2.03	1.46	1.33	1.84	2.73
XM_030983891.1	ABCC1	0.17	0.20	0.00	0.77	1.12	1.16	0.97	0.44	1.23	0.51
NM_001281760.1	ABCC5a	0.15	0.00	1.02	0.0	7.99	4.13	2.00	1.80	0.16	0.57
XM_030984054.1	ABCC5a	0.00	0.00	0.76	13.855	2.89	4.39	1.32	2.92	1.58	0.85
NM_001281759.1	ABCC9a	66.75	17.39	4.33	0.925	2.48	7.00	25.54	18.78	34.34	28.72
NM_001079540.1	AMAS2	10.78	21.38	4.05	0.445	3.06	2.17	1.91	2.06	1.93	1.64
NM_001079544.1	AMAS3	1.09	1.16	1.09	1.48	0.00	0.07	0.07	0.06	0.07	0.48
NM_001079543.1	AMAS4	0.90	2.12	2.26	0.135	0.14	0.54	0.39	0.15	0.00	0.27
XM_011678954.2	AMAS4	0.00	0.00	0.18	0.0	0.00	0.00	0.00	0.00	0.10	0.00
NM_214512.1	ARS	28.08	16.22	2037.35	7908.87	7175.85	9317.05	8220.21	10778.50	6800.98	5298.15
NM_214644.1	Alx1	0.13	11.51	12.51	18.43	20.08	4.97	3.77	3.27	6.88	5.47
XM_011663478.2	Alx1	0.00	0.00	0.00	0.125	0.00	0.00	0.00	0.00	0.00	0.00
XM_011663480.2	Alx1	0.00	2.01	1.18	4.9	3.40	1.36	1.89	1.25	1.59	1.19
XM_030988783.1	Alx1	0.00	0.00	0.06	0.075	2.20	0.00	0.00	0.00	0.00	0.00
XM_030988784.1	Alx1	0.00	0.06	0.00	1.09	0.00	0.48	0.19	0.21	0.14	0.21
