"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005215","transporter activity",1785,92,56.48,"1.8e-06"
"GO:0022857","transmembrane transporter activity",1731,86,54.77,"1.7e-05"
"GO:0004930","G protein-coupled receptor activity",1234,62,39.04,"0.00021"
"GO:0038023","signaling receptor activity",1706,77,53.98,"0.00094"
"GO:0060089","molecular transducer activity",1706,77,53.98,"0.00094"
"GO:0004888","transmembrane signaling receptor activit...",1683,76,53.25,"0.00100"
"GO:0000981","DNA-binding transcription factor activit...",173,14,5.47,"0.00124"
"GO:0016849","phosphorus-oxygen lyase activity",44,6,1.39,"0.00248"
"GO:0015269","calcium-activated potassium channel acti...",3,2,0.09,"0.00294"
"GO:0016854","racemase and epimerase activity",11,3,0.35,"0.00430"
"GO:0016857","racemase and epimerase activity, acting ...",11,3,0.35,"0.00430"
"GO:0003700","DNA-binding transcription factor activit...",504,27,15.95,"0.00568"
"GO:0004517","nitric-oxide synthase activity",4,2,0.13,"0.00575"
"GO:0030234","enzyme regulator activity",629,32,19.9,"0.00589"
"GO:0015267","channel activity",489,26,15.47,"0.00721"
"GO:0022803","passive transmembrane transporter activi...",489,26,15.47,"0.00721"
"GO:0010181","FMN binding",40,5,1.27,"0.00822"
"GO:0004016","adenylate cyclase activity",5,2,0.16,"0.00938"
"GO:0140297","DNA-binding transcription factor binding",5,2,0.16,"0.00938"
"GO:0005216","ion channel activity",475,25,15.03,"0.00939"
