"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0065007","biological regulation",5357,206,163.32,"3.1e-05"
"GO:0055085","transmembrane transport",1780,83,54.27,"5.1e-05"
"GO:0050789","regulation of biological process",4947,190,150.82,"9.0e-05"
"GO:0050794","regulation of cellular process",4748,183,144.75,"0.00011"
"GO:0050953","sensory perception of light stimulus",10,4,0.3,"0.00015"
"GO:0009190","cyclic nucleotide biosynthetic process",46,7,1.4,"0.00045"
"GO:0007601","visual perception",6,3,0.18,"0.00053"
"GO:0007600","sensory perception",23,5,0.7,"0.00055"
"GO:0050877","nervous system process",52,7,1.59,"0.00096"
"GO:0009187","cyclic nucleotide metabolic process",54,7,1.65,"0.00120"
"GO:0048523","negative regulation of cellular process",358,22,10.91,"0.00152"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,58,39.33,"0.00181"
"GO:0031109","microtubule polymerization or depolymeri...",18,4,0.55,"0.00186"
"GO:0003008","system process",60,7,1.83,"0.00224"
"GO:0065009","regulation of molecular function",693,35,21.13,"0.00246"
"GO:0051126","negative regulation of actin nucleation",3,2,0.09,"0.00273"
"GO:0010639","negative regulation of organelle organiz...",34,5,1.04,"0.00346"
"GO:0051129","negative regulation of cellular componen...",34,5,1.04,"0.00346"
"GO:0050790","regulation of catalytic activity",683,34,20.82,"0.00354"
"GO:0052652","cyclic purine nucleotide metabolic proce...",35,5,1.07,"0.00394"
"GO:0010468","regulation of gene expression",1184,52,36.1,"0.00498"
"GO:0006171","cAMP biosynthetic process",4,2,0.12,"0.00534"
"GO:0006809","nitric oxide biosynthetic process",4,2,0.12,"0.00534"
"GO:0031110","regulation of microtubule polymerization...",4,2,0.12,"0.00534"
"GO:0046209","nitric oxide metabolic process",4,2,0.12,"0.00534"
"GO:1903409","reactive oxygen species biosynthetic pro...",4,2,0.12,"0.00534"
"GO:2001057","reactive nitrogen species metabolic proc...",4,2,0.12,"0.00534"
"GO:0051252","regulation of RNA metabolic process",1011,45,30.82,"0.00696"
"GO:0060255","regulation of macromolecule metabolic pr...",1433,60,43.69,"0.00726"
"GO:1902904","negative regulation of supramolecular fi...",26,4,0.79,"0.00749"
"GO:0080090","regulation of primary metabolic process",1294,55,39.45,"0.00752"
"GO:0051171","regulation of nitrogen compound metaboli...",1295,55,39.48,"0.00763"
"GO:0051125","regulation of actin nucleation",5,2,0.15,"0.00873"
"GO:0048519","negative regulation of biological proces...",494,25,15.06,"0.00948"
"GO:0005996","monosaccharide metabolic process",78,7,2.38,"0.00962"
"GO:0051494","negative regulation of cytoskeleton orga...",28,4,0.85,"0.00978"
