"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005215","transporter activity",1785,85,52.91,"7.8e-06"
"GO:0022857","transmembrane transporter activity",1731,81,51.31,"2.5e-05"
"GO:0000981","DNA-binding transcription factor activit...",173,14,5.13,"0.00066"
"GO:0016849","phosphorus-oxygen lyase activity",44,6,1.3,"0.00179"
"GO:0030234","enzyme regulator activity",629,32,18.64,"0.00223"
"GO:0015269","calcium-activated potassium channel acti...",3,2,0.09,"0.00258"
"GO:0004930","G protein-coupled receptor activity",1234,54,36.58,"0.00268"
"GO:0016854","racemase and epimerase activity",11,3,0.33,"0.00358"
"GO:0016857","racemase and epimerase activity, acting ...",11,3,0.33,"0.00358"
"GO:0003700","DNA-binding transcription factor activit...",504,26,14.94,"0.00465"
"GO:0004517","nitric-oxide synthase activity",4,2,0.12,"0.00506"
"GO:0015267","channel activity",489,25,14.5,"0.00609"
"GO:0022803","passive transmembrane transporter activi...",489,25,14.5,"0.00609"
"GO:0010181","FMN binding",40,5,1.19,"0.00628"
"GO:0005085","guanyl-nucleotide exchange factor activi...",248,15,7.35,"0.00735"
"GO:0038023","signaling receptor activity",1706,68,50.57,"0.00735"
"GO:0060089","molecular transducer activity",1706,68,50.57,"0.00735"
"GO:0009975","cyclase activity",42,5,1.24,"0.00774"
"GO:0004888","transmembrane signaling receptor activit...",1683,67,49.89,"0.00800"
"GO:0005216","ion channel activity",475,24,14.08,"0.00816"
"GO:0004016","adenylate cyclase activity",5,2,0.15,"0.00826"
"GO:0140297","DNA-binding transcription factor binding",5,2,0.15,"0.00826"
"GO:0030695","GTPase regulator activity",401,21,11.89,"0.00880"
