"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,214,125.76,"9.0e-16"
"GO:0050794","regulation of cellular process",4748,573,462.87,"2.3e-10"
"GO:0055085","transmembrane transport",1780,251,173.53,"2.8e-10"
"GO:0050789","regulation of biological process",4947,590,482.27,"7.9e-10"
"GO:0065007","biological regulation",5357,626,522.24,"5.8e-09"
"GO:0007154","cell communication",3266,407,318.39,"8.2e-09"
"GO:0023052","signaling",3220,398,313.91,"3.5e-08"
"GO:0007165","signal transduction",3169,392,308.94,"4.3e-08"
"GO:0009190","cyclic nucleotide biosynthetic process",46,17,4.48,"6.6e-07"
"GO:0006810","transport",3415,406,332.92,"2.1e-06"
"GO:0051234","establishment of localization",3434,406,334.77,"3.8e-06"
"GO:0051179","localization",3526,413,343.74,"7.9e-06"
"GO:0051716","cellular response to stimulus",3651,426,355.93,"7.9e-06"
"GO:0009187","cyclic nucleotide metabolic process",54,17,5.26,"8.4e-06"
"GO:0006811","ion transport",1548,198,150.91,"2.6e-05"
"GO:0050896","response to stimulus",3822,439,372.6,"2.8e-05"
"GO:0050877","nervous system process",52,15,5.07,"8.8e-05"
"GO:0060078","regulation of postsynaptic membrane pote...",28,10,2.73,"0.00019"
"GO:0060079","excitatory postsynaptic potential",28,10,2.73,"0.00019"
"GO:0099565","chemical synaptic transmission, postsyna...",28,10,2.73,"0.00019"
"GO:0042391","regulation of membrane potential",29,10,2.83,"0.00027"
"GO:0034220","ion transmembrane transport",780,105,76.04,"0.00037"
"GO:0051125","regulation of actin nucleation",5,4,0.49,"0.00042"
"GO:0003008","system process",60,15,5.85,"0.00050"
"GO:0051126","negative regulation of actin nucleation",3,3,0.29,"0.00092"
"GO:0007166","cell surface receptor signaling pathway",728,96,70.97,"0.00129"
"GO:0007155","cell adhesion",375,55,36.56,"0.00138"
"GO:0022610","biological adhesion",375,55,36.56,"0.00138"
"GO:0052652","cyclic purine nucleotide metabolic proce...",35,10,3.41,"0.00142"
"GO:2000112","regulation of cellular macromolecule bio...",1031,128,100.51,"0.00225"
"GO:0010556","regulation of macromolecule biosynthetic...",1032,128,100.61,"0.00233"
"GO:1905114","cell surface receptor signaling pathway ...",97,19,9.46,"0.00236"
"GO:0009889","regulation of biosynthetic process",1033,128,100.7,"0.00241"
"GO:0031326","regulation of cellular biosynthetic proc...",1033,128,100.7,"0.00241"
"GO:1903510","mucopolysaccharide metabolic process",7,4,0.68,"0.00247"
"GO:0051252","regulation of RNA metabolic process",1011,125,98.56,"0.00292"
"GO:0006355","regulation of transcription, DNA-templat...",979,121,95.44,"0.00342"
"GO:1903506","regulation of nucleic acid-templated tra...",979,121,95.44,"0.00342"
"GO:2001141","regulation of RNA biosynthetic process",979,121,95.44,"0.00342"
"GO:0001568","blood vessel development",4,3,0.39,"0.00343"
"GO:0001944","vasculature development",4,3,0.39,"0.00343"
"GO:0006171","cAMP biosynthetic process",4,3,0.39,"0.00343"
"GO:0034315","regulation of Arp2/3 complex-mediated ac...",4,3,0.39,"0.00343"
"GO:0006468","protein phosphorylation",735,94,71.65,"0.00360"
"GO:0007267","cell-cell signaling",156,26,15.21,"0.00460"
"GO:0006357","regulation of transcription by RNA polym...",388,54,37.83,"0.00472"
"GO:0006351","transcription, DNA-templated",1102,133,107.43,"0.00509"
"GO:0097659","nucleic acid-templated transcription",1102,133,107.43,"0.00509"
"GO:0032774","RNA biosynthetic process",1113,134,108.5,"0.00537"
"GO:0010468","regulation of gene expression",1184,141,115.43,"0.00637"
"GO:0051495","positive regulation of cytoskeleton orga...",24,7,2.34,"0.00645"
"GO:1902905","positive regulation of supramolecular fi...",24,7,2.34,"0.00645"
"GO:0019219","regulation of nucleobase-containing comp...",1037,125,101.09,"0.00678"
"GO:0018108","peptidyl-tyrosine phosphorylation",115,20,11.21,"0.00751"
"GO:0030212","hyaluronan metabolic process",5,3,0.49,"0.00795"
"GO:0005975","carbohydrate metabolic process",355,49,34.61,"0.00801"
"GO:0018212","peptidyl-tyrosine modification",116,20,11.31,"0.00826"
"GO:0007215","glutamate receptor signaling pathway",14,5,1.36,"0.00826"
"GO:0006366","transcription by RNA polymerase II",436,58,42.5,"0.00904"
"GO:0031054","pre-miRNA processing",2,2,0.19,"0.00950"
"GO:0034316","negative regulation of Arp2/3 complex-me...",2,2,0.19,"0.00950"
"GO:1901881","positive regulation of protein depolymer...",2,2,0.19,"0.00950"
"GO:0080090","regulation of primary metabolic process",1294,151,126.15,"0.00991"
