"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0031224","intrinsic component of membrane",9193,1101,967.45,"2.5e-12"
"GO:0016021","integral component of membrane",9179,1097,965.97,"6.4e-12"
"GO:0016020","membrane",10428,1212,1097.41,"3.8e-10"
"GO:0005886","plasma membrane",939,146,98.82,"6.2e-07"
"GO:0071944","cell periphery",1036,154,109.03,"4.4e-06"
"GO:0045211","postsynaptic membrane",37,14,3.89,"1.1e-05"
"GO:0097060","synaptic membrane",37,14,3.89,"1.1e-05"
"GO:0098794","postsynapse",55,17,5.79,"3.0e-05"
"GO:0045202","synapse",129,25,13.58,"0.0019"
"GO:0005887","integral component of plasma membrane",78,16,8.21,"0.0066"
"GO:0031226","intrinsic component of plasma membrane",81,16,8.52,"0.0095"
