"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004930","G protein-coupled receptor activity",1234,204,121.11,"2.1e-14"
"GO:0038023","signaling receptor activity",1706,259,167.43,"1.4e-13"
"GO:0060089","molecular transducer activity",1706,259,167.43,"1.4e-13"
"GO:0004888","transmembrane signaling receptor activit...",1683,255,165.17,"2.8e-13"
"GO:0005215","transporter activity",1785,253,175.18,"4.1e-10"
"GO:0022857","transmembrane transporter activity",1731,243,169.88,"2.4e-09"
"GO:0000981","DNA-binding transcription factor activit...",173,38,16.98,"1.6e-06"
"GO:0005230","extracellular ligand-gated ion channel a...",110,28,10.8,"1.8e-06"
"GO:0015276","ligand-gated ion channel activity",129,31,12.66,"1.9e-06"
"GO:0022834","ligand-gated channel activity",129,31,12.66,"1.9e-06"
"GO:0015267","channel activity",489,80,47.99,"3.3e-06"
"GO:0022803","passive transmembrane transporter activi...",489,80,47.99,"3.3e-06"
"GO:0022824","transmitter-gated ion channel activity",37,14,3.63,"5.1e-06"
"GO:0022835","transmitter-gated channel activity",37,14,3.63,"5.1e-06"
"GO:0005216","ion channel activity",475,77,46.62,"7.1e-06"
"GO:0030594","neurotransmitter receptor activity",44,15,4.32,"1.0e-05"
"GO:0003700","DNA-binding transcription factor activit...",504,79,49.46,"1.9e-05"
"GO:0022836","gated channel activity",235,43,23.06,"4.5e-05"
"GO:0015075","ion transmembrane transporter activity",823,115,80.77,"6.0e-05"
"GO:0022848","acetylcholine-gated cation-selective cha...",25,10,2.45,"6.6e-05"
"GO:0099529","neurotransmitter receptor activity invol...",25,10,2.45,"6.6e-05"
"GO:1904315","transmitter-gated ion channel activity i...",25,10,2.45,"6.6e-05"
"GO:0098960","postsynaptic neurotransmitter receptor a...",32,11,3.14,"0.00014"
"GO:0005231","excitatory extracellular ligand-gated io...",28,10,2.75,"0.00020"
"GO:0016849","phosphorus-oxygen lyase activity",44,13,4.32,"0.00021"
"GO:0004252","serine-type endopeptidase activity",257,43,25.22,"0.00036"
"GO:0004016","adenylate cyclase activity",5,4,0.49,"0.00043"
"GO:0015318","inorganic molecular entity transmembrane...",759,102,74.49,"0.00063"
"GO:0008236","serine-type peptidase activity",272,44,26.69,"0.00064"
"GO:0017171","serine hydrolase activity",272,44,26.69,"0.00064"
"GO:0140110","transcription regulator activity",638,88,62.61,"0.00065"
"GO:0099094","ligand-gated cation channel activity",43,12,4.22,"0.00065"
"GO:0004965","G protein-coupled GABA receptor activity",22,8,2.16,"0.00077"
"GO:0015269","calcium-activated potassium channel acti...",3,3,0.29,"0.00094"
"GO:0004222","metalloendopeptidase activity",179,31,17.57,"0.00126"
"GO:0004175","endopeptidase activity",626,85,61.44,"0.00127"
"GO:0005509","calcium ion binding",1355,166,132.98,"0.00137"
"GO:0051213","dioxygenase activity",101,20,9.91,"0.00174"
"GO:0008237","metallopeptidase activity",310,47,30.42,"0.00175"
"GO:0009975","cyclase activity",42,11,4.12,"0.00192"
"GO:0005261","cation channel activity",271,42,26.6,"0.00196"
"GO:0004089","carbonate dehydratase activity",20,7,1.96,"0.00213"
"GO:0016917","GABA receptor activity",31,9,3.04,"0.00226"
"GO:0005227","calcium activated cation channel activit...",7,4,0.69,"0.00254"
"GO:0022839","ion gated channel activity",7,4,0.69,"0.00254"
"GO:0016829","lyase activity",204,33,20.02,"0.00285"
"GO:0004672","protein kinase activity",702,91,68.9,"0.00351"
"GO:0030246","carbohydrate binding",153,26,15.02,"0.00387"
"GO:0004104","cholinesterase activity",17,6,1.67,"0.00423"
"GO:0016773","phosphotransferase activity, alcohol gro...",810,102,79.49,"0.00501"
"GO:0140096","catalytic activity, acting on a protein",2444,274,239.86,"0.00794"
"GO:0005092","GDP-dissociation inhibitor activity",5,3,0.49,"0.00811"
"GO:0045296","cadherin binding",5,3,0.49,"0.00811"
"GO:0050839","cell adhesion molecule binding",5,3,0.49,"0.00811"
"GO:0019842","vitamin binding",163,26,16,"0.00897"
"GO:0031177","phosphopantetheine binding",2,2,0.2,"0.00963"
"GO:0060072","large conductance calcium-activated pota...",2,2,0.2,"0.00963"
"GO:0071933","Arp2/3 complex binding",2,2,0.2,"0.00963"
