"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007186","G protein-coupled receptor signaling pat...",1290,40,11.5,"1.5e-12"
"GO:0007165","signal transduction",3169,49,28.26,"3.4e-05"
"GO:0007154","cell communication",3266,50,29.12,"3.6e-05"
"GO:0023052","signaling",3220,49,28.71,"5.3e-05"
"GO:0051716","cellular response to stimulus",3651,51,32.56,"0.00033"
"GO:0006486","protein glycosylation",325,10,2.9,"0.00068"
"GO:0043413","macromolecule glycosylation",325,10,2.9,"0.00068"
"GO:0009101","glycoprotein biosynthetic process",330,10,2.94,"0.00076"
"GO:0070085","glycosylation",333,10,2.97,"0.00082"
"GO:0009100","glycoprotein metabolic process",338,10,3.01,"0.00091"
"GO:0050896","response to stimulus",3822,51,34.08,"0.00100"
"GO:0050794","regulation of cellular process",4748,60,42.34,"0.00116"
"GO:0050789","regulation of biological process",4947,61,44.11,"0.00196"
"GO:0065007","biological regulation",5357,63,47.77,"0.00533"
