yourlist:M20220607A084FC58F6BBA219896F365D15F2EB444F67D3R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC115923808	A0A7M7NY64	A0A7M7NY64_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC100889002	A0A7M7PQU7	A0A7M7PQU7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	443
LOC580672	A0A7M7PKP5	A0A7M7PKP5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	5348
LOC115925342	A0A7M7P428	A0A7M7P428_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	160
LOC115920892	A0A7M7NCE3	A0A7M7NCE3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	326
LOC580008	A0A7M7RDU0	A0A7M7RDU0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC105442103	A0A7M7NCM4	A0A7M7NCM4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	328
LOC588773	A0A7M7P490	A0A7M7P490_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	182
LOC587112	A0A7M7NRL1	A0A7M7NRL1_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC115923255	A0A7M7NPH6	A0A7M7NPH6_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	235
LOC589191	A0A7M7RI72	A0A7M7RI72_STRPU	unreviewed	Choline dehydrogenase (EC 1.1.99.1)		Strongylocentrotus purpuratus (Purple sea urchin)	605
LOC100891637	A0A7M7LP53	A0A7M7LP53_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	368
LOC105441220	A0A7M7PKV5	A0A7M7PKV5_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	413
LOC100891519	A0A7M7HLJ4	A0A7M7HLJ4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	505
LOC581365	A0A7M7RDD8	A0A7M7RDD8_STRPU	unreviewed	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial		Strongylocentrotus purpuratus (Purple sea urchin)	124
LOC115923950	A0A7M7NSX1	A0A7M7NSX1_STRPU	unreviewed	Shootin-1		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC115925925	A0A7M7P3M5	A0A7M7P3M5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	146
LOC583694	A0A7M7NSY5	A0A7M7NSY5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	386
LOC588305	A0A7M7HHM0	A0A7M7HHM0_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	472
LOC581092	A0A7M7NAP8	A0A7M7NAP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	568
LOC115928489	A0A7M7PME5	A0A7M7PME5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	167
