yourlist:M202206065BF3C56A578D7D6DFD1FC81EE5DA77304F91D17	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC105437272	A0A7M7SZ31	A0A7M7SZ31_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC115923222	A0A7M7NP88	A0A7M7NP88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	221
LOC115928489	A0A7M7PME5	A0A7M7PME5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	167
LOC100889880	A0A7M7GIN6	A0A7M7GIN6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	278
LOC105442365	A0A7M7HMC9	A0A7M7HMC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	409
LOC115922125	A0A7M7SWD4	A0A7M7SWD4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1390
LOC575667	A0A7M7T327	A0A7M7T327_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	933
LOC587892	A0A7M7RFA9	A0A7M7RFA9_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC575572	A0A7M7R9V8	A0A7M7R9V8_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC115923548	A0A7M7NWD5	A0A7M7NWD5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	426
LOC575220	A0A7M7HQN4	A0A7M7HQN4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	527
LOC105441220	A0A7M7PKV5	A0A7M7PKV5_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	413
LOC588305	A0A7M7HHM0	A0A7M7HHM0_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	472
LOC100891637	A0A7M7LP53	A0A7M7LP53_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	368
LOC586017	A0A7M7NXE1	A0A7M7NXE1_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC580820	A0A7M7RD71	A0A7M7RD71_STRPU	unreviewed	PHD finger protein 10		Strongylocentrotus purpuratus (Purple sea urchin)	1065
LOC100891047	A0A7M7PEM5	A0A7M7PEM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	311
LOC105441222	A0A7M7SU45	A0A7M7SU45_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	310
LOC100888893	A0A7M7MY63	A0A7M7MY63_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	751
LOC115923430	A0A7M7NQ26	A0A7M7NQ26_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	315
LOC587112	A0A7M7NRL1	A0A7M7NRL1_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC105443789	A0A7M7PQS4	A0A7M7PQS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	212
LOC115923808	A0A7M7NY64	A0A7M7NY64_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC105439110	A0A7M7PC51	A0A7M7PC51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	447
LOC105447214	A0A7M7P3R6	A0A7M7P3R6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC589191	A0A7M7RI72	A0A7M7RI72_STRPU	unreviewed	Choline dehydrogenase (EC 1.1.99.1)		Strongylocentrotus purpuratus (Purple sea urchin)	605
LOC115925342	A0A7M7P428	A0A7M7P428_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	160
LOC105437447	A0A7M7LSK1	A0A7M7LSK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	253
LOC105439737	A0A7M7N298	A0A7M7N298_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	407
LOC581092	A0A7M7NAP8	A0A7M7NAP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	568
LOC115928057	A0A7M7PI10	A0A7M7PI10_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC100890181	A0A7M7NIW3	A0A7M7NIW3_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	266
