,chr,pos,region_x,gene_x,Not_annot,prom_gene,prom_region,promoter,pseudogene,snRNA,tRNA,lnc_RNA,snoRNA,rRNA,miRNA,exon,3'UTR,5'UTR,alternative UTR,intron,num_gene_hit,accunted_for,check
0,NW_022145459.1,2561,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NW_022145461.1,8430,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NW_022145464.1,32906,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NW_022145534.1,1090097,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NW_022145552.1,2272490,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NW_022145570.1,466300,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NW_022145594.1,6377500,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NW_022145594.1,8580431,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NW_022145594.1,8659474,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,NW_022145594.1,8670128,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NW_022145594.1,8687823,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NW_022145594.1,8764091,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NW_022145594.1,8930516,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NW_022145594.1,9183918,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NW_022145594.1,9773503,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,NW_022145594.1,12165389,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NW_022145594.1,12189223,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NW_022145594.1,12220287,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,NW_022145594.1,32237325,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NW_022145594.1,44586972,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,NW_022145594.1,51570773,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,NW_022145595.1,384717,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NW_022145595.1,1463574,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NW_022145595.1,1738460,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,NW_022145595.1,1752060,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,NW_022145595.1,1827862,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,NW_022145595.1,2033721,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,NW_022145595.1,3119824,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,NW_022145595.1,5746602,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,NW_022145595.1,5939765,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,NW_022145595.1,9180714,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,NW_022145595.1,9181378,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,NW_022145595.1,11843823,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,NW_022145595.1,12982866,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,NW_022145595.1,13103294,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,NW_022145595.1,14110316,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,NW_022145595.1,14111169,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,NW_022145595.1,15495616,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,NW_022145595.1,15513516,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,NW_022145595.1,15569408,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,NW_022145595.1,15610461,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,NW_022145595.1,15612338,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,NW_022145595.1,15623798,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,NW_022145595.1,16482243,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NW_022145595.1,17282024,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,NW_022145595.1,17347604,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,NW_022145595.1,18082591,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,NW_022145595.1,19210121,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,NW_022145595.1,22659163,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,NW_022145595.1,22940500,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,NW_022145595.1,25496394,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,NW_022145595.1,26308878,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,NW_022145595.1,26984606,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
