#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,1,NW_022145594,NW_003579715.1,1,1,49946401,49946401,+,49946401,49946401,21971,21971,-,1,First Pass,Primary Assembly
Line:2,1,1,NW_022145594,NW_003577863.1,1,1,50367795,50367795,+,50367795,50367795,64905,64905,-,1,First Pass,Primary Assembly
Line:3,1,1,NW_022145595,NW_003579494.1,1,1,12982866,12982866,+,12982866,12982866,17388,17388,-,1,First Pass,Primary Assembly
Line:4,1,1,NW_022145595,NW_003577479.1,1,1,29977843,29977843,+,29977843,29977843,521897,521897,-,1,First Pass,Primary Assembly
Line:5,1,1,NW_022145596,NW_003577092.1,1,1,11179796,11179796,+,11179796,11179796,247263,247263,-,1,First Pass,Primary Assembly
Line:6,1,1,NW_022145596,NW_003577092.1,1,1,11180102,11180102,+,11180102,11180102,246957,246957,-,1,First Pass,Primary Assembly
Line:7,1,1,NW_022145597,NW_003577013.1,1,1,24763302,24763302,+,24763302,24763302,369427,369427,-,1,First Pass,Primary Assembly
Line:8,1,NULL,NW_022145598,NULL,1,NULL,4981644,4981644,+,NOMAP,ALIGNGAP,,,,,,
Line:9,1,NULL,NW_022145598,NULL,1,NULL,4982095,4982095,+,NOMAP,ALIGNGAP,,,,,,
Line:10,1,1,NW_022145599,NW_003578145.1,1,1,4893244,4893244,+,4893244,4893244,45579,45579,-,1,First Pass,Primary Assembly
Line:11,1,1,NW_022145600,NW_003577716.1,1,1,18642769,18642769,+,18642769,18642769,109033,109033,+,1,First Pass,Primary Assembly
Line:12,1,1,NW_022145600,NW_003578357.1,1,1,33782688,33782688,+,33782688,33782688,91816,91816,-,1,First Pass,Primary Assembly
Line:13,1,1,NW_022145601,NW_003577178.1,1,1,32544902,32544902,+,32544902,32544902,637881,637881,-,1,First Pass,Primary Assembly
Line:14,1,1,NW_022145601,NW_003577178.1,1,1,32545186,32545186,+,32545186,32545186,637597,637597,-,1,First Pass,Primary Assembly
Line:15,1,1,NW_022145603,NW_003577346.1,1,1,12100941,12100941,+,12100941,12100941,290554,290554,-,1,First Pass,Primary Assembly
Line:16,1,1,NW_022145603,NW_003577715.1,1,1,14518530,14518530,+,14518530,14518530,23395,23395,-,1,First Pass,Primary Assembly
Line:17,1,1,NW_022145603,NW_003577128.1,1,1,15792401,15792401,+,15792401,15792401,558082,558082,+,1,First Pass,Primary Assembly
Line:18,1,1,NW_022145604,NW_003578398.1,1,1,13221183,13221183,+,13221183,13221183,9274,9274,-,1,First Pass,Primary Assembly
Line:19,1,1,NW_022145604,NW_003577148.1,1,1,26660050,26660050,+,26660050,26660050,990530,990530,-,1,First Pass,Primary Assembly
Line:20,1,1,NW_022145605,NW_003577818.1,1,1,1082334,1082334,+,1082334,1082334,204817,204817,+,1,First Pass,Primary Assembly
Line:21,1,NULL,NW_022145606,NULL,1,NULL,18202402,18202402,+,NOMAP,ALIGNGAP,,,,,,
Line:22,1,1,NW_022145607,NW_003577021.1,1,1,18393162,18393162,+,18393162,18393162,434194,434194,+,1,First Pass,Primary Assembly
Line:23,1,1,NW_022145607,NW_003577005.1,1,1,20632593,20632593,+,20632593,20632593,871029,871029,+,1,First Pass,Primary Assembly
Line:24,1,1,NW_022145609,NW_003577014.1,1,1,35181367,35181367,+,35181367,35181367,653512,653512,-,1,First Pass,Primary Assembly
Line:25,1,1,NW_022145611,NW_003577221.1,1,1,15276815,15276815,+,15276815,15276815,227800,227800,-,1,First Pass,Primary Assembly
Line:26,1,1,NW_022145611,NW_003578515.1,1,1,17676765,17676765,+,17676765,17676765,99787,99787,-,1,First Pass,Primary Assembly
Line:27,1,1,NW_022145612,NW_003577290.1,1,1,4257677,4257677,+,4257677,4257677,637512,637512,-,1,First Pass,Primary Assembly
Line:28,1,1,NW_022145613,NW_003577075.1,1,1,29215725,29215725,+,29215725,29215725,429086,429086,+,1,First Pass,Primary Assembly
Line:29,1,NULL,NW_022145614,NULL,1,NULL,10070442,10070442,+,NOMAP,ALIGNGAP,,,,,,
Line:30,1,1,NW_022145614,NW_003577241.1,1,1,10753431,10753431,+,10753431,10753431,247842,247842,-,1,First Pass,Primary Assembly
Line:31,1,1,NW_022145615,NW_003577287.1,1,1,31696020,31696020,+,31696020,31696020,709095,709095,+,1,First Pass,Primary Assembly
