,chr,pos,region_x,gene_x,Not_annot,prom_gene,prom_region,promoter,pseudogene,snRNA,tRNA,lnc_RNA,snoRNA,rRNA,miRNA,exon,3'UTR,5'UTR,alternative UTR,intron,num_gene_hit,accunted_for,check
0,NW_022145459.1,2561,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NW_022145461.1,8430,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NW_022145464.1,32906,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NW_022145465.1,5133,"[""3'UTR""]",['LOC577919'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
4,NW_022145509.1,25410,['intron'],['LOC582914'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
5,NW_022145519.1,466296,['intron'],['LOC578813'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
6,NW_022145530.1,614214,"[""3'UTR""]",['LOC577465'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
7,NW_022145534.1,1090097,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NW_022145537.1,58910,['exon'],['LOC582972'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
9,NW_022145549.1,939265,['intron'],['LOC100891124'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
10,NW_022145552.1,2272490,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NW_022145553.1,833490,['intron'],['LOC578479'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
12,NW_022145570.1,466300,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,NW_022145594.1,1703611,['exon'],['LOC591795'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
14,NW_022145594.1,1952618,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
15,NW_022145594.1,1952648,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
16,NW_022145594.1,1952990,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
17,NW_022145594.1,2506358,['alternative UTR'],['LOC755739'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
18,NW_022145594.1,4448131,"[""3'UTR""]",['LOC105444872'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
19,NW_022145594.1,4730506,['intron'],['LOC100890539'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
20,NW_022145594.1,4768367,"[""3'UTR""]",['LOC115918413'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
21,NW_022145594.1,6377500,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,NW_022145594.1,6650868,['intron'],['LOC581667'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
23,NW_022145594.1,8580431,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NW_022145594.1,8613016,['intron'],['LOC587814'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
25,NW_022145594.1,8659474,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,NW_022145594.1,8670128,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NW_022145594.1,8687823,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NW_022145594.1,8764091,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NW_022145594.1,8930516,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NW_022145594.1,9183918,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NW_022145594.1,9773503,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,NW_022145594.1,11898549,['exon'],['LOC100888144'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
33,NW_022145594.1,11924809,['intron'],['LOC105443331'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
34,NW_022145594.1,12165389,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NW_022145594.1,12189223,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NW_022145594.1,12220287,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NW_022145594.1,17254620,['exon'],['LOC582560'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
38,NW_022145594.1,17267345,['intron'],['LOC582560'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
39,NW_022145594.1,19063044,['not_annot'],[nan],0,['LOC115917941'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
40,NW_022145594.1,19105064,['intron'],['LOC115921266'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
41,NW_022145594.1,19106746,['intron'],['LOC115921266'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
42,NW_022145594.1,19120622,['intron'],['LOC581216'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
43,NW_022145594.1,19147490,"[""3'UTR""]",['LOC581266'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
44,NW_022145594.1,23602322,['intron'],['LOC579886'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
45,NW_022145594.1,29243024,['exon'],['LOC594022'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
46,NW_022145594.1,31562524,['intron'],['LOC105439348'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
47,NW_022145594.1,32237325,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,NW_022145594.1,33182057,['exon'],['LOC105441563'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
49,NW_022145594.1,40839601,['intron'],['LOC762372'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50,NW_022145594.1,42833378,['intron'],['LOC100892701'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
