#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,NULL,NW_022145205,NULL,1,NULL,58604,58604,+,NOMAP,NOALIGN,,,,,,
Line:2,1,1,NW_022145459,NW_003578334.1,1,1,2561,2561,+,2561,2561,309028,309028,+,1,First Pass,Primary Assembly
Line:3,1,1,NW_022145464,NW_003577068.1,1,1,10028,10028,+,10028,10028,627084,627084,+,1,First Pass,Primary Assembly
Line:4,1,NULL,NW_022145464,NULL,1,NULL,32906,32906,+,NOMAP,ALIGNGAP,,,,,,
Line:5,1,1,NW_022145526,NW_003578298.1,1,1,296916,296916,+,296916,296916,53669,53669,+,1,First Pass,Primary Assembly
Line:6,1,1,NW_022145531,NW_003578242.1,1,1,207623,207623,+,207623,207623,999,999,-,1,First Pass,Primary Assembly
Line:6,1,2,NW_022145531,NW_003577214.1,1,1,207623,207623,+,207623,207623,118449,118449,-,1,Second Pass,Primary Assembly
Line:7,1,1,NW_022145534,NW_003577138.1,1,1,615663,615663,+,615663,615663,649141,649141,-,1,Second Pass,Primary Assembly
Line:8,1,1,NW_022145534,NW_003577138.1,1,1,1090070,1090070,+,1090070,1090070,196228,196228,-,1,Second Pass,Primary Assembly
Line:9,1,1,NW_022145534,NW_003577138.1,1,1,1090097,1090097,+,1090097,1090097,196180,196180,-,1,Second Pass,Primary Assembly
Line:10,1,1,NW_022145539,NW_003579726.1,1,1,1052345,1052345,+,1052345,1052345,17073,17073,+,1,First Pass,Primary Assembly
Line:11,1,1,NW_022145543,NW_003577171.1,1,1,1215700,1215700,+,1215700,1215700,20544,20544,+,1,Second Pass,Primary Assembly
Line:11,1,2,NW_022145543,NW_003577157.1,1,1,1215700,1215700,+,1215700,1215700,766505,766505,-,1,First Pass,Primary Assembly
Line:12,1,1,NW_022145543,NW_003577171.1,1,1,1215738,1215738,+,1215738,1215738,20583,20583,+,1,Second Pass,Primary Assembly
Line:12,1,2,NW_022145543,NW_003577157.1,1,1,1215738,1215738,+,1215738,1215738,766467,766467,-,1,First Pass,Primary Assembly
Line:13,1,1,NW_022145547,NW_003577782.1,1,1,1112319,1112319,+,1112319,1112319,275997,275997,-,1,First Pass,Primary Assembly
Line:14,1,1,NW_022145548,NW_003579586.1,1,1,691644,691644,+,691644,691644,21022,21022,+,1,First Pass,Primary Assembly
Line:15,1,1,NW_022145548,NW_003577361.1,1,1,714149,714149,+,714149,714149,165421,165421,-,1,First Pass,Primary Assembly
Line:16,1,1,NW_022145551,NW_003579270.1,1,1,965953,965953,+,965953,965953,28655,28655,+,1,First Pass,Primary Assembly
Line:17,1,1,NW_022145552,NW_003577174.1,1,1,2272490,2272490,+,2272490,2272490,250547,250547,-,1,First Pass,Primary Assembly
Line:18,1,1,NW_022145562,NW_003577945.1,1,1,18266,18266,+,18266,18266,325894,325894,-,1,First Pass,Primary Assembly
