yourlist:M20220607F248CABF64506F29A91F8037F07B67D14FB3345	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC756727	A0A7M7P8S7	A0A7M7P8S7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	753
LOC100888203	A0A7M7PQN1	A0A7M7PQN1_STRPU	unreviewed	Deleted in malignant brain tumors 1 protein (Hensin)		Strongylocentrotus purpuratus (Purple sea urchin)	1366
LOC105437840	A0A7M7LSM8	A0A7M7LSM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	310
LOC574703	A0A7M7NG22	A0A7M7NG22_STRPU	unreviewed	AMP-binding domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC105441802	A0A7M7MYV9	A0A7M7MYV9_STRPU	unreviewed	Sema domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1769
LOC591463	A0A7M7P4W7	A0A7M7P4W7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	484
LOC115927868	A0A7M7PER7	A0A7M7PER7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	241
LOC105441220	A0A7M7PKV5	A0A7M7PKV5_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	413
LOC590527	A0A7M7PJ09	A0A7M7PJ09_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1786
LOC100888207	A0A7M7GL49	A0A7M7GL49_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1363
LOC105438425	A0A7M7N1R2	A0A7M7N1R2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC582118	A0A7M7PGI2	A0A7M7PGI2_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
