yourlist:M202206095BF3C56A578D7D6DFD1FC81EE5DA773050093F2	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100891122	A0A7M7P753	A0A7M7P753_STRPU	unreviewed	Hexosyltransferase (EC 2.4.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	424
LOC105438762	A0A7M7P5K2	A0A7M7P5K2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	185
LOC105439407	A0A7M7NSI2	A0A7M7NSI2_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	396
LOC105439407	A0A7M7SYJ3	A0A7M7SYJ3_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC589938	A0A7M7STP9	A0A7M7STP9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	626
LOC587009	A0A7M7HGH7	A0A7M7HGH7_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	318
LOC100890294	A0A7M7GH29	A0A7M7GH29_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC100891580	A0A7M7N3U5	A0A7M7N3U5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1010
LOC100891580	A0A7M7STS3	A0A7M7STS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	976
LOC587373	A0A7M7TH54	A0A7M7TH54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	333
LOC115927955	A0A7M7PH54	A0A7M7PH54_STRPU	unreviewed	Neur_chan_LBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	180
LOC100892804	A0A7M7LPT7	A0A7M7LPT7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	123
LOC576865	A0A7M7N0A1	A0A7M7N0A1_STRPU	unreviewed	Separase (EC 3.4.22.49)		Strongylocentrotus purpuratus (Purple sea urchin)	2433
LOC576865	A0A7M7N128	A0A7M7N128_STRPU	unreviewed	Separase (EC 3.4.22.49)		Strongylocentrotus purpuratus (Purple sea urchin)	2275
LOC100893091	A0A7M7LLC6	A0A7M7LLC6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	277
LOC115918199	A0A7M7NJ21	A0A7M7NJ21_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC100893334	A0A7M7NHX1	A0A7M7NHX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	453
LOC100893334	A0A7M7NHZ4	A0A7M7NHZ4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	507
LOC100893334	A0A7M7NI74	A0A7M7NI74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	492
LOC100893334	A0A7M7SWM5	A0A7M7SWM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	502
LOC590073	A0A7M7N0G2	A0A7M7N0G2_STRPU	unreviewed	Fibrinogen C-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	227
LOC579659	A0A7M7HF48	A0A7M7HF48_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	639
LOC579659	A0A7M7N118	A0A7M7N118_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC579659	A0A7M7RBL8	A0A7M7RBL8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	614
LOC577841	A0A7M7ND94	A0A7M7ND94_STRPU	unreviewed	Phosphodiesterase (EC 3.1.4.-)		Strongylocentrotus purpuratus (Purple sea urchin)	517
LOC100889018	A0A7M7GKG9	A0A7M7GKG9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1136
LOC100888423	A0A7M7P8I1	A0A7M7P8I1_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC581885	A0A7M7RDL6	A0A7M7RDL6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC105442405	A0A7M7T2N4	A0A7M7T2N4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	109
LOC581305	A0A7M7REX8	A0A7M7REX8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC100889761	A0A7M7T183	A0A7M7T183_STRPU	unreviewed	Fe2OG dioxygenase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	437
LOC100890759	A0A7M7N6Z5	A0A7M7N6Z5_STRPU	unreviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)		Strongylocentrotus purpuratus (Purple sea urchin)	931
