yourlist:M202206094ABAA9BC7178C81CEBC9459510EDDEA34FF825K	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC115922836	A0A7M7NLM1	A0A7M7NLM1_STRPU	unreviewed	Guanylate cyclase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	153
LOC105439407	A0A7M7NSI2	A0A7M7NSI2_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	396
LOC105439407	A0A7M7SYJ3	A0A7M7SYJ3_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC100890709	A0A7M7PEM0	A0A7M7PEM0_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2057
LOC100890709	A0A7M7PHC5	A0A7M7PHC5_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2143
LOC100890709	A0A7M7PJG4	A0A7M7PJG4_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2142
LOC100890709	A0A7M7T328	A0A7M7T328_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2120
LOC100890709	A0A7M7T345	A0A7M7T345_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1865
LOC576613	A0A7M7HK94	A0A7M7HK94_STRPU	unreviewed	Guanylate cyclase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	699
LOC100889396	A0A7M7N407	A0A7M7N407_STRPU	unreviewed	Gasdermin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	502
LOC100891136	A0A7M7GGW6	A0A7M7GGW6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC575000	A0A7M7NQ84	A0A7M7NQ84_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	1927
LOC575000	A0A7M7NQ97	A0A7M7NQ97_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	2271
LOC575000	A0A7M7NR57	A0A7M7NR57_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	1952
