#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,1,NW_022145459,NW_003578334.1,1,1,2561,2561,+,2561,2561,309028,309028,+,1,First Pass,Primary Assembly
Line:2,1,1,NW_022145461,NW_003577677.1,1,1,8430,8430,+,8430,8430,59379,59379,-,1,First Pass,Primary Assembly
Line:3,1,NULL,NW_022145464,NULL,1,NULL,32906,32906,+,NOMAP,ALIGNGAP,,,,,,
Line:4,1,1,NW_022145534,NW_003577138.1,1,1,1090097,1090097,+,1090097,1090097,196180,196180,-,1,Second Pass,Primary Assembly
Line:5,1,1,NW_022145552,NW_003577174.1,1,1,2272490,2272490,+,2272490,2272490,250547,250547,-,1,First Pass,Primary Assembly
Line:6,1,NULL,NW_022145570,NULL,1,NULL,466300,466300,+,NOMAP,ALIGNGAP,,,,,,
Line:7,1,NULL,NW_022145594,NULL,1,NULL,6377500,6377500,+,NOMAP,ALIGNGAP,,,,,,
Line:8,1,1,NW_022145594,NW_003581097.1,1,1,8580431,8580431,+,8580431,8580431,8241,8241,-,1,First Pass,Primary Assembly
Line:9,1,1,NW_022145594,NW_003576991.1,1,1,8659474,8659474,+,8659474,8659474,441038,441038,-,1,First Pass,Primary Assembly
Line:10,1,1,NW_022145594,NW_003576991.1,1,1,8670128,8670128,+,8670128,8670128,431515,431515,-,1,First Pass,Primary Assembly
Line:11,1,1,NW_022145594,NW_003576991.1,1,1,8687823,8687823,+,8687823,8687823,413044,413044,-,1,First Pass,Primary Assembly
Line:12,1,1,NW_022145594,NW_003576991.1,1,1,8764091,8764091,+,8764091,8764091,334861,334861,-,1,First Pass,Primary Assembly
Line:13,1,1,NW_022145594,NW_003576991.1,1,1,8930516,8930516,+,8930516,8930516,176441,176441,-,1,First Pass,Primary Assembly
